,fridge_1,fridge_10,fridge_11,fridge_12,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,hvac_10,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,wm_1,wm_10,wm_11,wm_12,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9
26,69.216865048,104.090499212,86.3393060849,87.6564451207,58.9267107179,75.9087783566,75.8918610962,85.0543656854,90.6099533245,91.8460842644,94.7301099427,96.6053753074,325.551694817,257.702324595,520.724415974,829.615250004,930.942388819,652.089832175,6.85605644234,5.29289063584,7.22388320453,4.71262517167,3.88048241511,7.33416618734,4.34635629905,5.47675441643,6.28972947263,4.77594839913,7.25396100981,4.13142978767
59,84.7025365723,72.1359486054,120.430826885,89.8976578364,79.3995262551,91.3387431293,129.810131278,94.4774467737,107.609768105,127.399938291,129.018891642,106.853192093,400.37715391,337.683460941,675.022349727,957.042845482,1041.11013113,718.275589677,6.45716043146,6.86028612795,6.50765479047,9.34942228579,6.09874977753,9.73320783624,6.36951412199,8.96471827782,8.01087192416,3.55439980472,10.4596230786,7.90822315968
94,26.8299051442,113.047790325,63.3458428334,21.1838912469,5.01580153037,61.8759834815,-11.4455404337,8.51009385393,-23.8410145655,29.3428747705,58.121405186,44.1516038375,273.795475007,102.168985922,134.352363488,580.725056853,439.993694717,470.956219557,1.35312711867,-12.1269684907,2.87441915774,1.18343046184,-7.37013844524,3.02735716344,-3.43823014087,-10.1734934576,5.71056481767,1.5476066532,-6.34720963461,-2.9130325894
101,86.8712339075,117.012214247,108.93184672,106.678241559,71.3885807039,90.4832712817,88.4719989833,101.953722585,111.894843456,106.346103063,99.3653256319,109.494704425,374.97138952,274.21017381,588.771796301,951.063853835,1116.01475318,742.049535429,8.57357205204,8.85777562713,7.78484220682,5.30300022355,4.4563295557,9.69031938567,3.26713335644,6.65045333567,9.41986300172,4.51085327775,11.4306732398,4.31652587899
222,74.3410259294,132.010027743,52.1003941838,111.09454066,72.7914579904,72.8129130145,106.662223851,80.0793224528,147.924973155,89.0983650764,128.264557724,112.400438565,303.377064879,307.118741236,677.389305242,758.176379285,1092.72149792,578.865543816,11.9378738109,12.6454730338,15.2593559708,1.06536119429,8.6727377908,6.40787978985,8.8426608342,15.099402912,1.88353386254,5.73056829147,14.3125871458,3.98180405846
252,67.01551751,111.682965354,81.7220542376,102.464947998,51.0842621139,81.2942948932,63.5460074403,64.1709901522,100.569825954,82.2149878447,85.573815866,109.846082266,290.65838589,233.50022506,494.014080319,665.341177288,865.157538529,580.282076492,7.91027652409,7.47842298419,7.66760236843,2.17887099728,2.31890036486,10.5047642648,0.6233060829,4.71955205524,5.25919079124,1.78190184114,11.968213623,1.49380415238
364,82.0783383516,80.1148190967,95.18799734,100.094788378,71.9266577013,75.1194527965,92.4122555589,101.736921209,118.911037239,98.9549660578,77.8352495128,95.0447564418,310.606629015,251.620459829,569.322182395,832.230355757,1053.81136939,647.721731933,8.31248366788,13.0415315878,6.31160362759,5.45498504565,6.78054913651,9.22592495112,3.88761764628,9.43535000891,9.09898344449,4.00816409763,14.0256106237,5.42356331026
545,80.6126785713,69.685847229,65.1416565661,104.031895252,76.622732764,49.4908040743,74.851090539,132.671321226,133.81477331,81.9127703076,36.5283071003,79.8307499773,223.670579466,203.594658215,503.336268421,762.763523145,1029.38737741,604.712055065,8.85528165628,19.3322181006,6.07713704877,4.32019916922,10.6496452416,6.1805451196,6.56298239433,13.0892347785,8.6692686099,7.92335609914,14.2621542329,6.19827600149
624,51.9839236013,41.5632052076,68.3343874614,55.63578169,59.8040845927,31.8119335979,120.024315596,91.4975783106,93.2595435776,94.8394024054,108.401585815,55.7058574155,249.366069366,236.07103309,488.360658871,655.825268856,734.448093806,422.575839649,5.46223353137,7.36820084162,7.38837088323,6.71369851927,9.35841080004,1.08700761697,11.1057752122,13.4425432273,4.08217520646,5.79121239459,5.98598571241,8.47877259783
661,51.7617232734,18.4025754301,48.0037372629,62.8446078244,56.9685834156,45.8886971717,73.1411975822,73.345656482,82.5908023045,71.6794000663,50.2499345102,70.0176505207,195.137464839,239.12777027,474.420398516,577.450012036,677.292168857,485.733148298,4.59189325952,9.92012241414,3.24454522221,6.91938872294,8.15049001469,7.49412919101,7.09134248775,9.3581064686,3.74904665494,4.97927787369,8.53157951804,7.28260375013
871,39.9517672648,2.25291064505,33.9984574672,48.3073114665,42.1477674134,46.9097133663,37.3754154896,42.360843797,51.5331037675,47.1090973362,18.329417241,61.6685813491,158.264732141,203.364852067,383.471871107,456.652705534,517.38628085,446.631699386,2.8752783374,7.25518836517,0.42692415715,6.3574824943,5.17170797531,9.51118845966,3.50447504343,4.64407546896,3.19236830563,3.19189924782,7.23097323184,5.43782964498
946,67.8856971435,13.2700225956,58.6351325337,47.0547190008,81.7404043748,52.0161890559,80.7713542304,127.559484874,65.1297846909,91.431732643,51.3935121149,62.5789072559,316.064547788,337.209181209,619.671315902,1092.19118707,988.52597253,827.173875949,3.33959994971,7.10093162473,2.11726434786,13.8720193153,11.8301782604,5.2568285349,14.5610199642,9.73010448227,7.39651088927,13.4266647907,0.00118228295641,13.3467773941
1169,64.0089577106,38.5137530863,95.5735946012,28.0870525331,50.7670064175,50.5132738266,49.1662814647,87.1010470938,30.8385390968,62.4028072253,26.7662002287,15.0317245397,283.743493218,105.427492076,256.816975859,815.266616369,800.210928366,546.46556153,3.29950455618,4.31701792313,0.0146807474697,7.19899959797,2.17827204976,2.20659731655,1.19026800191,1.28303377312,14.890725191,4.07549548294,3.15900903254,4.71031835836
1283,54.0491301436,75.9618066465,34.7537515265,88.3973541836,51.1885647497,63.803770824,31.580478553,70.8204121829,83.6520512303,59.91839869,41.6221560217,102.903714281,212.217380727,259.188594529,509.076682767,634.864266529,741.091217401,611.992268586,6.04494122181,7.99108425581,5.10717706171,3.97696343745,5.57893278023,10.1803403767,5.04322637609,5.02967057258,1.70608072998,6.65101719946,7.06033301484,4.02241936676
1310,51.2972213084,55.0070395689,42.9131281241,52.2446213968,55.6731862881,69.3587481596,33.0586202414,75.055089429,35.7388699204,68.0228737577,52.9161918313,87.8802735397,295.027888251,322.996119151,536.633802959,917.915903189,778.776286873,790.460139259,2.18224784432,-0.940564209385,2.35873739784,9.77112223627,4.88326309172,8.26297808604,8.85489616902,1.3906505638,2.65256487907,10.0944078312,-3.14835333008,7.6642048246
1334,43.0854648737,114.084341456,67.9484576375,66.0837954681,26.7757153263,31.5923511886,70.729422098,55.1509298385,81.8960466624,61.873706615,98.5825915184,50.6428653436,196.300663433,84.7106809018,241.410402756,386.919719976,582.576334866,231.010616011,7.16227086478,4.20555595821,9.47810744908,-2.21753422046,1.54201075103,-0.412874990153,1.60338745297,6.37115870044,4.33166494284,0.771486829753,7.14643595071,-0.504700400176
